invoice_month,branch_group,sales,returns,active_customers,orders
2010-08,DACH,11923.32,194.45,21,34
2010-08,Rest of Europe,9606.29,66.45,16,19
2010-08,International,2872.26,3.25,5,5
2010-09,UK North,334408.33,3198.51,516,837
2010-09,UK South,334069.54,5987.59,573,944
2010-09,Benelux,45844.05,51.85,12,21
2010-09,Ireland,35286.78,5097.09,2,39
2010-09,DACH,19835.29,528.29,29,55
2010-09,Rest of Europe,15905.48,279.75,27,37
2010-09,France,12314.58,12132.74,18,30
2010-09,International,7880.76,84.4,9,12
2010-10,UK South,439592.73,6641.89,711,1159
2010-10,UK North,433397.94,12106.73,720,1133
2010-10,Ireland,36097.0,184.35,2,45
2010-10,Rest of Europe,35116.16,4935.77,36,42
2010-10,DACH,28487.37,488.73,43,61
2010-10,Benelux,18162.57,28.4,8,16
2010-10,France,14394.57,601.24,22,34
2010-10,International,6308.41,245.01,14,16
2010-11,UK South,510235.41,14020.1,796,1480
2010-11,UK North,468510.5,12345.71,754,1364
2010-11,DACH,42622.54,613.6,38,68
2010-11,Benelux,40282.72,2328.78,16,32
2010-11,Ireland,26967.73,539.29,3,47
2010-11,Rest of Europe,26809.4,4531.86,35,50
2010-11,International,22988.35,398.1,14,21
2010-11,France,17561.74,120.4,25,43
2010-12,UK South,261928.52,7337.91,451,804
2010-12,UK North,234554.18,6737.97,420,755
2010-12,Rest of Europe,18022.0,1264.85,21,29
2010-12,DACH,14625.86,680.46,25,45
2010-12,Benelux,10354.39,,6,8
2010-12,International,8670.42,255.19,7,8
2010-12,France,8530.31,40.95,15,23
2010-12,Ireland,8513.88,988.31,3,19
2011-01,UK North,239753.3,83768.38,320,492
2011-01,UK South,201689.21,6338.66,363,595
2011-01,Benelux,27676.36,46.15,6,11
2011-01,Rest of Europe,23593.0,164.45,22,27
2011-01,Ireland,21704.19,182.67,2,8
2011-01,DACH,19328.07,459.41,32,43
2011-01,France,16174.12,183.05,25,37
2011-01,International,12764.66,109.8,10,12
2011-02,UK South,198483.36,2324.44,379,585
2011-02,UK North,157764.91,2603.97,330,473
2011-02,Benelux,24757.98,54.55,9,16
2011-02,International,22290.49,67.95,9,11
2011-02,DACH,11638.33,588.06,27,39
2011-02,Ireland,9961.52,2574.6,2,11
2011-02,Rest of Europe,9709.04,20.8,19,20
2011-02,France,7687.96,41.05,17,25
2011-03,UK South,243407.34,6409.94,485,768
2011-03,UK North,225339.11,2652.24,438,661
2011-03,Benelux,25201.47,18.4,12,18
2011-03,Rest of Europe,24486.49,373.32,24,35
2011-03,Ireland,17850.02,29.74,3,22
2011-03,International,17413.43,226.84,8,10
2011-03,DACH,15761.04,222.67,29,46
2011-03,France,13684.95,72.65,18,28
2011-04,UK South,223008.51,27357.71,403,643
2011-04,UK North,183239.04,3178.51,414,608
2011-04,DACH,13336.51,384.17,27,38
2011-04,International,11070.89,2114.87,11,12
2011-04,Rest of Europe,7941.08,115.42,18,19
2011-04,Ireland,7270.5,,2,11
2011-04,Benelux,4675.04,29.33,8,11
2011-04,France,3899.31,133.1,13,16
2011-05,UK South,285435.2,4544.9,522,873
2011-05,UK North,257146.13,4007.19,462,770
2011-05,Benelux,31429.28,5.4,11,21
2011-05,DACH,28001.14,204.65,32,56
2011-05,International,16925.18,9.9,7,10
2011-05,France,16166.48,51.8,28,40
2011-05,Ireland,15727.15,87.41,3,23
2011-05,Rest of Europe,8411.93,17.0,11,15
2011-06,UK North,282228.92,5304.13,448,706
2011-06,UK South,242758.57,6574.05,494,814
2011-06,Benelux,30601.91,16.65,16,24
2011-06,International,28539.1,31.5,7,10
2011-06,DACH,19638.5,203.23,30,38
2011-06,Ireland,19410.99,13.2,2,27
2011-06,Rest of Europe,15393.96,136.41,27,34
2011-06,France,14692.97,356.54,25,33
2011-07,UK South,247234.25,5138.49,480,751
2011-07,UK North,235988.85,5424.02,408,656
2011-07,Ireland,40404.15,31.0,3,24
2011-07,Rest of Europe,20625.39,55.6,21,26
2011-07,DACH,19137.9,429.99,35,48
2011-07,International,16825.47,196.81,11,18
2011-07,France,9171.19,111.2,18,25
2011-07,Benelux,2216.59,1.95,6,7
2011-08,UK South,273880.3,14842.0,434,697
2011-08,UK North,224990.83,2426.2,434,638
2011-08,Benelux,43467.83,377.9,9,18
2011-08,International,27945.6,49.79,7,7
2011-08,DACH,23962.74,266.82,42,55
2011-08,Ireland,16707.83,4630.69,2,22
2011-08,France,12630.96,21.7,22,28
2011-08,Rest of Europe,11928.29,294.15,27,39
2011-09,UK North,438573.83,10245.91,581,899
2011-09,UK South,352032.54,5588.5,592,917
2011-09,Ireland,40232.64,404.8,2,47
2011-09,Benelux,30611.28,10.2,10,15
2011-09,Rest of Europe,25135.62,25.5,28,32
2011-09,DACH,24074.33,382.81,38,65
2011-09,France,21898.04,211.17,37,51
2011-09,International,6194.35,75.0,8,11
2011-10,UK South,408351.23,29309.46,671,1047
2011-10,UK North,406189.05,4913.47,614,916
2011-10,Benelux,45548.03,34.0,13,27
2011-10,DACH,36191.89,437.85,50,78
2011-10,Rest of Europe,34705.99,3868.19,38,50
2011-10,France,23993.93,131.29,27,40
2011-10,Ireland,23802.92,1010.3,2,37
2011-10,International,23543.52,1579.51,9,13
2011-11,UK South,503620.84,8855.63,784,1387
2011-11,UK North,465726.98,11559.17,762,1332
2011-11,DACH,33322.1,948.81,50,88
2011-11,Benelux,31259.77,71.35,13,29
2011-11,Rest of Europe,29570.3,583.29,49,65
2011-11,France,28732.8,914.25,40,73
2011-11,Ireland,28598.41,325.38,2,50
2011-11,International,15702.8,174.0,5,9
2011-12,UK North,318874.33,170564.35,307,402
2011-12,UK South,150653.53,2373.69,310,423
2011-12,Benelux,13016.75,8.3,6,8
2011-12,Rest of Europe,7883.02,413.16,21,23
2011-12,DACH,7547.37,179.47,17,23
2011-12,Ireland,6828.92,2.55,1,10
2011-12,France,6538.92,147.65,19,19
2011-12,International,885.24,386.89,3,4
